tier,name,hability_1,hability_2,hidden_hability,HP,Atk,Def,SpA,SpD,Spe,BST
NFE,Kadabra,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400
UUBL,Alakazam,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500
Illegal,Alakazam-Mega,Trace,,,55,50,65,175,105,150,600
LC,Machop,Guts,No Guard,Steadfast,70,80,50,35,35,35,305
NFE,Machoke,Guts,No Guard,Steadfast,80,100,70,50,60,45,405
NU,Machamp,Guts,No Guard,Steadfast,90,130,80,65,85,55,505
AG,Machamp-Gmax,Guts,No Guard,Steadfast,90,130,80,65,85,55,505
Illegal,Bellsprout,Chlorophyll,Gluttony,,50,75,35,70,30,40,300
Illegal,Weepinbell,Chlorophyll,Gluttony,,65,90,50,85,45,55,390
Illegal,Victreebel,Chlorophyll,Gluttony,,80,105,65,100,70,70,490
LC,Tentacool,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,335
UU,Tentacruel,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,515
Illegal,Geodude,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,300
Illegal,Geodude-Alola,Magnet Pull,Sturdy,Galvanize,40,80,100,30,30,20,300
Illegal,Graveler,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,390
Illegal,Graveler-Alola,Magnet Pull,Sturdy,Galvanize,55,95,115,45,45,35,390
Illegal,Golem,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,495
Illegal,Golem-Alola,Magnet Pull,Sturdy,Galvanize,80,120,130,55,65,45,495
LC,Ponyta,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,410
LC,Ponyta-Galar,Run Away,Pastel Veil,Anticipation,50,85,55,65,65,90,410
(PU),Rapidash,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,500
(PU),Rapidash-Galar,Run Away,Pastel Veil,Anticipation,65,100,70,80,80,105,500
LC,Slowpoke,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,315
LC,Slowpoke-Galar,Gluttony,Own Tempo,Regenerator,90,65,65,40,40,15,315
OU,Slowbro,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,490
Illegal,Slowbro-Mega,Shell Armor,,,95,75,180,130,80,30,590
RUBL,Slowbro-Galar,Quick Draw,Own Tempo,Regenerator,95,100,95,100,70,30,490
LC,Magnemite,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,325
PU,Magneton,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,465
(PU),Farfetch’d,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,377
LC,Farfetch’d-Galar,Steadfast,Scrappy,,52,95,55,58,62,55,377
Illegal,Doduo,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,310
Illegal,Dodrio,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110,470
Illegal,Seel,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,325
Illegal,Dewgong,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,475
Illegal,Grimer,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,325
Illegal,Grimer-Alola,Poison Touch,Gluttony,Power of Alchemy,80,80,50,40,50,25,325
Illegal,Muk,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,500
Illegal,Muk-Alola,Poison Touch,Gluttony,Power of Alchemy,105,105,75,65,100,50,500
LC,Shellder,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,305
RU,Cloyster,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,525
NFE,Gastly,Levitate,,,30,35,30,100,35,80,310
NFE,Haunter,Levitate,,,45,50,45,115,55,95,405
UUBL,Gengar,Cursed Body,,,60,65,60,130,75,110,500
Illegal,Gengar-Mega,Shadow Tag,,,60,65,80,170,95,130,600
AG,Gengar-Gmax,Cursed Body,,,60,65,60,130,75,110,500
LC,Onix,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,385
Illegal,Drowzee,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,328
Illegal,Hypno,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,483
LC,Krabby,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,325
PUBL,Kingler,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,475
AG,Kingler-Gmax,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,475
Illegal,Voltorb,Soundproof,Static,Aftermath,40,30,50,55,55,100,330
Illegal,Voltorb-Hisui,Soundproof,Static,Aftermath,40,30,50,55,55,100,330
Illegal,Electrode,Soundproof,Static,Aftermath,60,50,70,80,80,150,490
Illegal,Electrode-Hisui,Soundproof,Static,Aftermath,60,50,70,80,80,150,490
LC,Exeggcute,Chlorophyll,Harvest,,60,40,80,60,45,40,325
(PU),Exeggutor,Chlorophyll,Harvest,,95,95,85,125,75,55,530
PUBL,Exeggutor-Alola,Frisk,Harvest,,95,105,85,125,75,45,530
LC,Cubone,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,320
(PU),Marowak,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,425
RU,Marowak-Alola,Cursed Body,Lightning Rod,Rock Head,60,80,110,50,80,45,425
Illegal,Marowak-Alola-Totem,Rock Head,,,60,80,110,50,80,45,425
PU,Hitmonlee,Limber,Reckless,Unburden,50,120,53,35,110,87,455
(PU),Hitmonchan,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,455
LC,Lickitung,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,385
LC,Koffing,Levitate,Neutralizing Gas,Stench,40,65,95,60,45,35,340
PU,Weezing,Levitate,Neutralizing Gas,Stench,65,90,120,85,70,60,490
RU,Weezing-Galar,Levitate,Neutralizing Gas,Misty Surge,65,90,120,85,70,60,490
LC,Rhyhorn,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,345
NFE,Rhydon,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,485
UU,Chansey,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,450
NFE,Tangela,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,435
(PU),Kangaskhan,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,490
Illegal,Kangaskhan-Mega,Parental Bond,,,105,125,100,60,100,100,590
LC,Horsea,Swift Swim,Sniper,Damp,30,40,70,70,25,60,295
NFE,Seadra,Poison Point,Sniper,Damp,55,65,95,95,45,85,440
LC,Goldeen,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63,320
(PU),Seaking,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,450
LC,Staryu,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,340
NU,Starmie,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,520
(PU),Mr. Mime,Soundproof,Filter,Technician,40,45,65,100,120,90,460
NFE,Mr. Mime-Galar,Vital Spirit,Screen Cleaner,Ice Body,50,65,65,90,90,100,460
PU,Scyther,Swarm,Technician,Steadfast,70,110,80,55,80,105,500
(PU),Jynx,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,455
NFE,Electabuzz,Static,Vital Spirit,,65,83,57,95,85,105,490
NFE,Magmar,Flame Body,Vital Spirit,,65,95,57,100,85,93,495
(PU),Pinsir,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,500
Illegal,Pinsir-Mega,Aerilate,,,65,155,120,65,90,105,600
NU,Tauros,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110,490
LC,Magikarp,Swift Swim,Rattled,,20,10,55,15,20,80,200
UU,Gyarados,Intimidate,Moxie,,95,125,79,60,100,81,540
Illegal,Gyarados-Mega,Mold Breaker,,,95,155,109,70,130,81,640
(PU),Lapras,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,535
AG,Lapras-Gmax,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,535
(PU),Ditto,Limber,Imposter,,48,48,48,48,48,48,288
LC,Eevee,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,325
Illegal,Eevee-Starter,Run Away,Adaptability,Anticipation,65,75,70,65,85,75,435
AG,Eevee-Gmax,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,325
NU,Vaporeon,Water Absorb,Hydration,,130,65,60,110,95,65,525
PU,Jolteon,Volt Absorb,Quick Feet,,65,65,60,110,95,130,525
(PU),Flareon,Flash Fire,Guts,,65,130,60,95,110,65,525
LC,Porygon,Trace,Download,Analytic,65,60,70,85,75,40,395
LC,Omanyte,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,355
PUBL,Omastar,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,495
LC,Kabuto,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,355
(PU),Kabutops,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,495
NU,Aerodactyl,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,515
Illegal,Aerodactyl-Mega,Tough Claws,,,80,135,85,70,95,150,615
NU,Snorlax,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,540
AG,Snorlax-Gmax,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,540
(PU),Articuno,Pressure,Snow Cloak,,90,85,100,95,125,85,580
PU,Articuno-Galar,Competitive,,,90,85,85,125,100,95,580
OU,Zapdos,Pressure,Static,,90,90,85,125,90,100,580
OU,Zapdos-Galar,Defiant,,,90,125,90,85,90,100,580
UU,Moltres,Pressure,Flame Body,,90,100,90,125,85,90,580
UUBL,Moltres-Galar,Berserk,,,90,85,90,100,125,90,580
LC,Dratini,Shed Skin,Marvel Scale,,41,64,45,50,50,50,300
NFE,Dragonair,Shed Skin,Marvel Scale,,61,84,65,70,70,70,420
OU,Dragonite,Inner Focus,Multiscale,,91,134,95,100,100,80,600
Uber,Mewtwo,Pressure,Unnerve,,106,110,90,154,90,130,680
Illegal,Mewtwo-Mega-X,Steadfast,,,106,190,100,154,100,130,780
Illegal,Mewtwo-Mega-Y,Insomnia,,,106,150,70,194,120,140,780
OU,Mew,Synchronize,,,100,100,100,100,100,100,600
Illegal,Chikorita,Overgrow,Leaf Guard,,45,49,65,49,65,45,318
Illegal,Bayleef,Overgrow,Leaf Guard,,60,62,80,63,80,60,405
Illegal,Meganium,Overgrow,Leaf Guard,,80,82,100,83,100,80,525
Illegal,Cyndaquil,Blaze,Flash Fire,,39,52,43,60,50,65,309
Illegal,Quilava,Blaze,Flash Fire,,58,64,58,80,65,80,405
Illegal,Typhlosion,Blaze,Flash Fire,,78,84,78,109,85,100,534
Illegal,Typhlosion-Hisui,Blaze,Flash Fire,,73,84,78,119,85,95,534
Illegal,Totodile,Torrent,Sheer Force,,50,65,64,44,48,43,314
Illegal,Croconaw,Torrent,Sheer Force,,65,80,80,59,63,58,405
Illegal,Feraligatr,Torrent,Sheer Force,,85,105,100,79,83,78,530
Illegal,Sentret,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,215
Illegal,Furret,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,415
LC,Hoothoot,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,262
(PU),Noctowl,Insomnia,Keen Eye,Tinted Lens,100,50,50,86,96,70,452
Illegal,Ledyba,Swarm,Early Bird,Rattled,40,20,30,40,80,55,265
Illegal,Ledian,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,390
Illegal,Spinarak,Swarm,Insomnia,Sniper,40,60,40,40,40,30,250
Illegal,Ariados,Swarm,Insomnia,Sniper,70,90,70,60,70,40,400
RU,Crobat,Inner Focus,Infiltrator,,85,90,80,70,80,130,535
LC,Chinchou,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,330
PU,Lanturn,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,460
LC,Pichu,Static,Lightning Rod,,20,40,15,35,35,60,205
Illegal,Pichu-Spiky-eared,Static,,,20,40,15,35,35,60,205
LC,Cleffa,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,218
LC,Igglybuff,Cute Charm,Competitive,Friend Guard,90,30,15,40,20,15,210
LC,Togepi,Hustle,Serene Grace,Super Luck,35,20,65,40,65,20,245
NFE,Togetic,Hustle,Serene Grace,Super Luck,55,40,85,80,105,40,405
LC,Natu,Synchronize,Early Bird,Magic Bounce,40,50,45,70,45,70,320
NU,Xatu,Synchronize,Early Bird,Magic Bounce,65,75,70,95,70,95,470
Illegal,Mareep,Static,Plus,,55,40,40,65,45,35,280
Illegal,Flaaffy,Static,Plus,,70,55,55,80,60,45,365
Illegal,Ampharos,Static,Plus,,90,75,85,115,90,55,510
Illegal,Ampharos-Mega,Mold Breaker,,,90,95,105,165,110,45,610
(PU),Bellossom,Chlorophyll,Healer,,75,80,95,90,100,50,490
NFE,Marill,Thick Fat,Huge Power,Sap Sipper,70,20,50,20,50,40,250
UU,Azumarill,Thick Fat,Huge Power,Sap Sipper,100,50,80,60,80,50,420
(PU),Sudowoodo,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,410
(PU),Politoed,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,500
Illegal,Hoppip,Chlorophyll,Leaf Guard,Infiltrator,35,35,40,35,55,50,250
Illegal,Skiploom,Chlorophyll,Leaf Guard,Infiltrator,55,45,50,45,65,80,340
Illegal,Jumpluff,Chlorophyll,Leaf Guard,Infiltrator,75,55,70,55,95,110,460
Illegal,Aipom,Run Away,Pickup,Skill Link,55,70,55,40,55,85,360
Illegal,Sunkern,Chlorophyll,Solar Power,Early Bird,30,30,30,30,30,30,180
Illegal,Sunflora,Chlorophyll,Solar Power,Early Bird,75,75,55,105,85,30,425
Illegal,Yanma,Speed Boost,Compound Eyes,Frisk,65,65,45,75,45,95,390
LC,Wooper,Damp,Water Absorb,Unaware,55,45,45,25,25,15,210
PU,Quagsire,Damp,Water Absorb,Unaware,95,85,85,65,65,35,430
PUBL,Espeon,Synchronize,Magic Bounce,,65,65,60,130,95,110,525
RU,Umbreon,Synchronize,Inner Focus,,95,65,110,60,130,65,525
Illegal,Murkrow,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,405
UU,Slowking,Oblivious,Own Tempo,Regenerator,95,75,80,100,110,30,490
OU,Slowking-Galar,Curious Medicine,Own Tempo,Regenerator,95,65,80,110,110,30,490
Illegal,Misdreavus,Levitate,,,60,60,60,85,85,85,435
Illegal,Unown,Levitate,,,48,72,48,72,48,48,336
(PU),Wobbuffet,Shadow Tag,Telepathy,,190,33,58,33,58,33,405
Illegal,Girafarig,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,455
Illegal,Pineco,Sturdy,Overcoat,,50,65,90,35,35,15,290
Illegal,Forretress,Sturdy,Overcoat,,75,90,140,60,60,40,465
(PU),Dunsparce,Serene Grace,Run Away,Rattled,100,70,70,65,65,45,415
Illegal,Gligar,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,430
RU,Steelix,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,510
Illegal,Steelix-Mega,Sand Force,,,75,125,230,55,95,30,610
Illegal,Snubbull,Intimidate,Run Away,Rattled,60,80,50,40,40,30,300
Illegal,Granbull,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,450
(PU),Qwilfish,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,440
Illegal,Qwilfish-Hisui,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,440
UU,Scizor,Swarm,Technician,Light Metal,70,130,100,55,80,65,500
Illegal,Scizor-Mega,Technician,,,70,150,140,65,100,75,600
(PU),Shuckle,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,505
RU,Heracross,Swarm,Guts,Moxie,80,125,75,40,95,85,500
Illegal,Heracross-Mega,Skill Link,,,80,185,115,40,105,75,600
NFE,Sneasel,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,430
Illegal,Sneasel-Hisui,Inner Focus,Keen Eye,Poison Touch,55,95,55,35,75,115,430
Illegal,Teddiursa,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,330
Illegal,Ursaring,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,500
Illegal,Slugma,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,250
Illegal,Magcargo,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,430
LC,Swinub,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,250
NFE,Piloswine,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,450
(PU),Corsola,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,410
NFE,Corsola-Galar,Weak Armor,Cursed Body,,60,55,100,65,100,30,410
LC,Remoraid,Hustle,Sniper,Moody,35,65,35,65,35,65,300
(PU),Octillery,Suction Cups,Sniper,Moody,75,105,75,105,75,45,480
(PU),Delibird,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,330
NU,Mantine,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,485
UU,Skarmory,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,465
Illegal,Houndour,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,330
Illegal,Houndoom,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,500
Illegal,Houndoom-Mega,Solar Power,,,75,90,90,140,90,115,600
PUBL,Kingdra,Swift Swim,Sniper,Damp,75,95,95,95,95,85,540
Illegal,Phanpy,Pickup,Sand Veil,,90,60,60,40,40,40,330
Illegal,Donphan,Sturdy,Sand Veil,,90,120,120,60,60,50,500
RU,Porygon2,Trace,Download,Analytic,85,80,90,105,95,60,515
Illegal,Stantler,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,465
Illegal,Smeargle,Own Tempo,Technician,Moody,55,20,35,20,45,75,250
LC,Tyrogue,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,210
NU,Hitmontop,Intimidate,Technician,Steadfast,50,95,95,35,110,70,455
LC,Smoochum,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,305
LC,Elekid,Static,Vital Spirit,,45,63,37,65,55,95,360
LC,Magby,Flame Body,Vital Spirit,,45,75,37,70,55,83,365
(PU),Miltank,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,490
OU,Blissey,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,540
RU,Raikou,Pressure,Inner Focus,,90,85,75,115,100,115,580
NUBL,Entei,Pressure,Inner Focus,,115,115,85,90,75,100,580
RU,Suicune,Pressure,Inner Focus,,100,75,115,90,115,85,580
LC,Larvitar,Guts,Sand Veil,,50,64,50,45,50,41,300
NFE,Pupitar,Shed Skin,,,70,84,70,65,70,51,410
OU,Tyranitar,Sand Stream,Unnerve,,100,134,110,95,100,61,600
Illegal,Tyranitar-Mega,Sand Stream,,,100,164,150,95,120,71,700
Uber,Lugia,Pressure,Multiscale,,106,90,130,90,154,110,680
Uber,Ho-Oh,Pressure,Regenerator,,106,130,90,110,154,90,680
RU,Celebi,Natural Cure,,,100,100,100,100,100,100,600
LC,Treecko,Overgrow,Unburden,,40,45,35,65,55,70,310
